%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609060370607112260,0,1609060370607112260,529.115561055,-83.7834209055,-6171.06672687,0.0,0.0,0.0,0.0,28.5311237659,-1.30893660048,-345.581099073,0.0,0.0,0.0
1609060370607127635,1,1609060370607127635,529.116003208,-83.7834411903,-6171.07208241,0.0,0.0,0.0,0.0,28.5311290053,-1.30893530988,-345.581401205,0.0,0.0,0.0
1609060370612211266,2,1609060370612211266,529.261048471,-83.7900954496,-6172.82911135,0.0,0.0,0.0,0.0,28.5333047218,-1.30901668433,-345.677722234,0.0,0.0,0.0
1609060370612230686,3,1609060370612230686,529.261606307,-83.7901210413,-6172.83586947,0.0,0.0,0.0,0.0,28.5333148558,-1.30901767774,-345.678086426,0.0,0.0,0.0
1609060370617303449,4,1609060370617303449,529.406349272,-83.7967642487,-6174.58959657,0.0,0.0,0.0,0.0,28.5353069937,-1.31023701181,-345.773744756,0.0,0.0,0.0
1609060370617319164,5,1609060370617319164,529.406798293,-83.7967848661,-6174.59503753,0.0,0.0,0.0,0.0,28.5353103692,-1.31024246639,-345.774045484,0.0,0.0,0.0
1609060370622391831,6,1609060370622391831,529.55155465,-83.803432858,-6176.34934151,-0.0,0.0,0.0,0.0,28.535909054,-1.31077544359,-345.872725059,0.0,0.0,0.0
1609060370622407795,7,1609060370622407795,529.552010484,-83.8034537964,-6176.3548665,-0.0,0.0,0.0,0.0,28.535912145,-1.31077242247,-345.873035112,0.0,0.0,0.0
1609060370627497345,8,1609060370627497345,529.697248602,-83.8101248448,-6178.11544173,-0.0,0.0,0.0,0.0,28.5374768445,-1.31071114841,-345.970103486,0.0,0.0,0.0
1609060370627529095,9,1609060370627529095,529.698153516,-83.8101664071,-6178.12641234,-0.0,0.0,0.0,0.0,28.537488615,-1.31071688674,-345.970706809,0.0,0.0,0.0
1609060370632623304,10,1609060370632623304,529.843529729,-83.8168414375,-6179.88905425,-0.0,0.0,0.0,0.0,28.5393653094,-1.30999891674,-346.068609778,0.0,0.0,0.0
1609060370632650123,11,1609060370632650123,529.844298617,-83.8168767305,-6179.89837779,-0.0,0.0,0.0,0.0,28.5393774507,-1.30999356626,-346.069122231,0.0,0.0,0.0
1609060370637726527,12,1609060370637726527,529.98918246,-83.8235299208,-6181.65540748,-0.0,0.0,0.0,0.0,28.5418628258,-1.31122588943,-346.164264912,0.0,0.0,0.0
1609060370637743998,13,1609060370637743998,529.989679218,-83.8235527421,-6181.66143232,-0.0,0.0,0.0,0.0,28.5418686607,-1.31122956611,-346.164597532,0.0,0.0,0.0
1609060370642816540,14,1609060370642816540,0.147125390777,0.140734565665,2.09019639606,0.999455300931,0.00251862999905,0.0206474212907,-0.027193255043,0.249790530373,0.295024170335,0.958925837502,0.0,0.0,0.0
1609060370642830952,15,1609060370642830952,0.147128964037,0.140738785946,2.09021011361,0.999455299132,0.00251865896618,0.0206479591827,-0.0271929100774,0.249787487442,0.29501382662,0.958926632976,0.0,0.0,0.0
1609060370647906552,16,1609060370647906552,0.148393862016,0.142228512224,2.09507608925,0.999454671664,0.00253487974452,0.0208438213274,-0.0270657489132,0.248626402389,0.291990249335,0.958437363654,0.0,0.0,0.0
1609060370647923062,17,1609060370647923062,0.14839795213,0.14223331561,2.09509185631,0.999454668815,0.002534905213,0.0208443699555,-0.0270654292172,0.248625285006,0.291976840055,0.958428202286,0.0,0.0,0.0
1609060370652993779,18,1609060370652993779,0.149659796507,0.143704659149,2.09993927723,0.999452585456,0.00254235470249,0.0209770937274,-0.0270394475965,0.249076324442,0.288356251034,0.95351057224,0.0,0.0,0.0
1609060370653008010,19,1609060370653008010,0.149663359569,0.143708784105,2.09995291724,0.999452578421,0.00254239594775,0.0209774551986,-0.0270394233167,0.249075904106,0.288354306897,0.953501698252,0.0,0.0,0.0
1609060370658084000,20,1609060370658084000,0.150923939219,0.145171086294,2.1047942703,0.999450521777,0.00255335147328,0.0211314441565,-0.0269949463477,0.24761308326,0.287816658125,0.954070541089,0.0,0.0,0.0
1609060370658107520,21,1609060370658107520,0.150929783625,0.145177879579,2.10481678975,0.999450505586,0.00255337156283,0.0211323430665,-0.0269948402222,0.247603334635,0.287801519059,0.954079387181,0.0,0.0,0.0
1609060370663185624,22,1609060370663185624,0.152185331358,0.146630574336,2.10965735189,0.999445657704,0.00255776574181,0.0213258950464,-0.0270223933263,0.246893954317,0.284342096245,0.952375297649,0.0,0.0,0.0
1609060370663208793,23,1609060370663208793,0.152191041185,0.146637150133,2.10967937688,0.999445640983,0.00255780360038,0.0213266266749,-0.0270224307827,0.24689469906,0.284336090739,0.952356859312,0.0,0.0,0.0
1609060370668284546,24,1609060370668284546,0.153443606039,0.148075334817,2.11450609076,0.999442130281,0.00256636469163,0.0215029931558,-0.0270122746196,0.246636327509,0.282332183035,0.949447305056,0.0,0.0,0.0
1609060370668299996,25,1609060370668299996,0.153447369403,0.148079642776,2.1145205781,0.999442113498,0.00256639292983,0.0215035535731,-0.0270124468127,0.246635347758,0.282320554484,0.949437452475,0.0,0.0,0.0
1609060370673370907,26,1609060370673370907,0.154698433198,0.149508437628,2.11932422475,0.999436774141,0.0025815008055,0.0216209397156,-0.0271151174771,0.246790942058,0.28120382049,0.945146623982,0.0,0.0,0.0
1609060370673385309,27,1609060370673385309,0.154702022402,0.14951252738,2.11933797047,0.999436763254,0.00258155424712,0.0216212498383,-0.0271152664076,0.246789762293,0.281211239932,0.945138792174,0.0,0.0,0.0
1609060370678468084,28,1609060370678468084,0.155951775621,0.150944660733,2.12414096639,0.999432566957,0.0026003676883,0.0218060488173,-0.0271207902582,0.244986663841,0.282331555084,0.944834469892,0.0,0.0,0.0
1609060370678513207,29,1609060370678513207,0.155962873152,0.150957449976,2.12418376686,0.999432527388,0.00260056722893,0.0218077821712,-0.0271208356021,0.244975673214,0.282320822371,0.944830722201,0.0,0.0,0.0
1609060370683585087,30,1609060370683585087,0.15720541878,0.152384332276,2.12896991595,0.999428436151,0.00262863113549,0.0219887211508,-0.0271234187017,0.244998857612,0.280343412811,0.942497278136,0.0,0.0,0.0
1609060370683599441,31,1609060370683599441,0.157208923538,0.152388342552,2.12898339837,0.999428423651,0.00262870873889,0.021989205421,-0.0271234791669,0.245001766045,0.280333804787,0.942480908155,0.0,0.0,0.0
1609060370688673284,32,1609060370688673284,0.158455135953,0.153805600166,2.13374671707,0.999424493394,0.00265652818528,0.0221035356319,-0.0271729142251,0.246233957417,0.278325025058,0.935138253168,0.0,0.0,0.0
1609060370688694304,33,1609060370688694304,0.158460302131,0.153811439689,2.13376633687,0.999424483175,0.00265665324394,0.0221039480002,-0.0271729424332,0.246232512118,0.27832806775,0.935120736019,0.0,0.0,0.0
1609060370694646720,34,1609060370694646720,0.159919898173,0.155465250731,2.13932864509,0.999422685324,0.00268894642714,0.0222659880913,-0.027104098164,0.244173985557,0.277332305355,0.933747100937,0.0,0.0,0.0
1609060370694677091,35,1609060370694677091,0.159927291427,0.155473647796,2.1393569181,0.999422672243,0.002689112946,0.0222669740393,-0.0271037540185,0.24416550389,0.277310883794,0.933742805869,0.0,0.0,0.0
1609060370699748644,36,1609060370699748644,0.161164739732,0.156872736264,2.14408827182,0.999419458516,0.00272423090728,0.0224542256035,-0.0270649368748,0.243821932538,0.274419311611,0.932065376361,0.0,0.0,0.0
1609060370699764371,37,1609060370699764371,0.161168576417,0.156877054387,2.14410293838,0.999419450304,0.00272434804265,0.0224548028301,-0.0270647494517,0.243821163075,0.27441457555,0.932055297412,0.0,0.0,0.0
1609060370704836712,38,1609060370704836712,0.162403199454,0.158262299681,2.14881960057,0.999417747116,0.00275794381887,0.0226206073827,-0.0269866982329,0.243006358423,0.271805211919,0.927784422313,0.0,0.0,0.0
1609060370704850944,39,1609060370704850944,0.162406675666,0.158266187816,2.14883287253,0.999417741689,0.00275803388959,0.0226210615714,-0.026986509318,0.243003282464,0.271795442953,0.92777004847,0.0,0.0,0.0
1609060370709958753,40,1609060370709958753,0.163647026347,0.159651282202,2.15355289782,0.999417172751,0.00279138868615,0.0227473389087,-0.0268983202846,0.242658388901,0.270540901783,0.920364844163,0.0,0.0,0.0
1609060370709984865,41,1609060370709984865,0.163653332444,0.159658312908,2.15357681542,0.999417179561,0.00279158133736,0.0227478450737,-0.026897619209,0.242656948329,0.270540144013,0.92032614678,0.0,0.0,0.0
1609060370715059410,42,1609060370715059410,0.164881444259,0.161025320529,2.15823383015,0.999417978571,0.00282634221109,0.0228902834618,-0.0267438603146,0.241352851694,0.268209729733,0.9150448213,0.0,0.0,0.0
1609060370715074820,43,1609060370715074820,0.164885126986,0.161029413002,2.1582477925,0.999417980533,0.00282641334508,0.0228907485482,-0.026743381391,0.241349623083,0.268199004084,0.915028956987,0.0,0.0,0.0
1609060370720148875,44,1609060370720148875,0.166108081879,0.162383036685,2.16287664723,0.99942078831,0.00284692202332,0.0229943727203,-0.0265475892737,0.240695729632,0.265351341506,0.909501057414,0.0,0.0,0.0
1609060370720167263,45,1609060370720167263,0.166112500602,0.162387907951,2.16289334387,0.999420800469,0.00284701456635,0.0229947180912,-0.0265468224406,0.240693061793,0.265338764771,0.909480829688,0.0,0.0,0.0
1609060370725240520,46,1609060370725240520,0.167331885546,0.163722775126,2.16748837924,0.999422971625,0.00287106188339,0.0231053955076,-0.0263666367612,0.240012906323,0.26089261192,0.901974147765,0.0,0.0,0.0
1609060370725257752,47,1609060370725257752,0.167336005636,0.163727253567,2.16750386236,0.999422981645,0.00287111465258,0.0231056237978,-0.02636605114,0.240012411825,0.260883564361,0.901939280926,0.0,0.0,0.0
1609060370730337991,48,1609060370730337991,0.168553268322,0.165051212356,2.17206306536,0.999427451137,0.00288508736996,0.0231496364533,-0.0261565404453,0.239181332661,0.260312704354,0.892859480424,0.0,0.0,0.0
1609060370730361234,49,1609060370730361234,0.168558799673,0.165057232429,2.17208371381,0.999427469123,0.00288516190106,0.0231499967834,-0.0261555260688,0.239172665097,0.260306214979,0.892828771702,0.0,0.0,0.0
1609060370735442232,50,1609060370735442232,0.169770232108,0.166372860532,2.17660195855,0.999430639251,0.00289814141396,0.0232441667558,-0.0259496118351,0.237681157391,0.257561948235,0.885679227983,0.0,0.0,0.0
1609060370735469471,51,1609060370735469471,0.169776748813,0.166379922195,2.17662624177,0.999430658857,0.00289820607862,0.0232445296132,-0.0259485244644,0.237676144821,0.257546951628,0.885645507228,0.0,0.0,0.0
1609060370740543798,52,1609060370740543798,0.170980535788,0.167678281818,2.18110744741,0.999434254296,0.00290854669518,0.0232951620236,-0.0257635317623,0.236791601376,0.254196220125,0.880603493477,0.0,0.0,0.0
1609060370740562634,53,1609060370740562634,0.170984995748,0.167683069531,2.1811240334,0.999434265299,0.00290857328563,0.0232953473394,-0.0257629343435,0.236788899167,0.254186616345,0.880579227697,0.0,0.0,0.0
1609060370745633647,54,1609060370745633647,0.172186711231,0.168970613636,2.18556411823,0.999438140868,0.00292188459933,0.0233143878318,-0.0255938678863,0.237174150995,0.253627704174,0.870614108933,0.0,0.0,0.0
1609060370745652790,55,1609060370745652790,0.17219123499,0.16897545118,2.18558072349,0.999438158967,0.00292194758769,0.0233143369139,-0.0255932003081,0.237176326833,0.25362549733,0.870574067357,0.0,0.0,0.0
1609060370750728283,56,1609060370750728283,0.173392442426,0.170259072258,2.18998049011,0.999442337914,0.00293321699316,0.0233132034645,-0.0254297544603,0.236141269652,0.252165946382,0.863087326537,0.0,0.0,0.0
1609060370750741571,57,1609060370750741571,0.173395538926,0.170262378891,2.18999180769,0.999442347141,0.00293324185597,0.0233132467343,-0.0254293492864,0.236137322971,0.25216213821,0.863071879755,0.0,0.0,0.0
1609060370755817485,58,1609060370755817485,0.174593378372,0.17153861197,2.19435387306,0.999447015829,0.00294965337117,0.0232918901101,-0.0252635436158,0.235830998486,0.250694555953,0.855653178377,0.0,0.0,0.0
1609060370755838151,59,1609060370755838151,0.174598270083,0.171543811886,2.19437162108,0.999447035383,0.00294975601624,0.0232916972844,-0.0252629358079,0.235831589062,0.250685416512,0.855624273807,0.0,0.0,0.0
1609060370760930634,60,1609060370760930634,0.175795645129,0.172814423247,2.19871810053,0.999449579612,0.00297811684319,0.0232940952964,-0.0251567591906,0.234429653693,0.248338911666,0.851427196579,0.0,0.0,0.0
1609060370760963074,61,1609060370760963074,0.175803246307,0.172822475498,2.19874570752,0.999449588704,0.0029782768821,0.0232943225208,-0.0251561686115,0.234418156403,0.248331501223,0.851397583395,0.0,0.0,0.0
1609060370766039501,62,1609060370766039501,0.17699191291,0.174082221948,2.20304963052,0.999451637717,0.00300111591711,0.0233189690773,-0.0250492353896,0.233869927846,0.24795925884,0.844179503621,0.0,0.0,0.0
1609060370766055369,63,1609060370766055369,0.176995593003,0.174086123741,2.20306291401,0.999451643434,0.00300119510847,0.0233190361732,-0.0250489353208,0.233870306045,0.247959007591,0.844153365441,0.0,0.0,0.0
1609060370771129465,64,1609060370771129465,0.178182052429,0.17534495698,2.20732554334,0.999452603441,0.00303210543411,0.0233605771388,-0.0249682554897,0.233789831045,0.248228314014,0.836023614829,0.0,0.0,0.0
1609060370771146532,65,1609060370771146532,0.17818606568,0.17534921811,2.20733989442,0.999452608494,0.00303222104954,0.0233607110002,-0.0249679139315,0.233787781324,0.248229380592,0.83599939586,0.0,0.0,0.0
1609060370776219580,66,1609060370776219580,0.179371759203,0.176607022313,2.21156176335,0.999455351962,0.00306912035589,0.0233633816922,-0.0248511143558,0.233658321268,0.247645532536,0.828424112252,0.0,0.0,0.0
1609060370776234555,67,1609060370776234555,0.179375268846,0.176610741998,2.21157420641,0.999455358437,0.00306924548111,0.0233633651741,-0.0248508540149,0.233659458524,0.247639781664,0.828400914331,0.0,0.0,0.0
1609060370781306520,68,1609060370781306520,0.180560260573,0.177862686286,2.21575568004,0.999456181348,0.00311693062757,0.0233822037013,-0.0247941577042,0.23361977255,0.246040934417,0.820484675624,0.0,0.0,0.0
1609060370781321868,69,1609060370781321868,0.18056382531,0.177866440572,2.21576819946,0.999456182967,0.00311707290347,0.0233823110632,-0.024793973322,0.233617402879,0.246040781548,0.820461112824,0.0,0.0,0.0
1609060370786417105,70,1609060370786417105,0.181751984304,0.179121691797,2.21992688368,0.9994574214,0.00316608210207,0.023397549973,-0.0247235188485,0.232762272609,0.246674134299,0.811917891365,0.0,0.0,0.0
1609060370786480694,71,1609060370786480694,0.18176680138,0.179137394921,2.2199785647,0.999457443015,0.00316681488013,0.0233975013873,-0.0247225972004,0.232760717904,0.24668674023,0.811796669688,0.0,0.0,0.0
1609060370791563450,72,1609060370791563450,0.182948706661,0.180394130675,2.22408450458,0.999458602235,0.00323265212599,0.0234348815223,-0.0246319235846,0.232295808873,0.247814109032,0.803810073444,0.0,0.0,0.0
1609060370791584923,73,1609060370791584923,0.182953691137,0.180399448174,2.2241017522,0.999458605192,0.00323292858979,0.0234351933175,-0.0246314706719,0.232291046289,0.247812712713,0.803784261951,0.0,0.0,0.0
1609060370796656088,74,1609060370796656088,0.184129561833,0.181650475579,2.22816209971,0.999459301951,0.00329633296784,0.0234889642288,-0.0245437172676,0.231456877183,0.245576027123,0.797563346861,0.0,0.0,0.0
1609060370796670736,75,1609060370796670736,0.184132928029,0.181654047083,2.22817369894,0.999459302392,0.00329652892367,0.0234890841079,-0.0245435582737,0.231456221722,0.245570570201,0.797541672949,0.0,0.0,0.0
1609060370802701693,76,1609060370802701693,0.185527657852,0.18313348112,2.23295354994,0.99945879528,0.00339132128598,0.0235821446022,-0.0244624146523,0.231061241265,0.245036332123,0.787542780102,0.0,0.0,0.0
1609060370802740236,77,1609060370802740236,0.185536582223,0.183142945296,2.2329839665,0.999458796597,0.00339195512325,0.0235828775844,-0.0244615663546,0.231056348339,0.245033177739,0.787473082306,0.0,0.0,0.0
1609060370807816170,78,1609060370807816170,0.186708521249,0.184382795173,2.23695633394,0.999459798901,0.00347412274538,0.0236559563579,-0.0243387664539,0.230706784331,0.243487940285,0.77770462057,0.0,0.0,0.0
1609060370807838918,79,1609060370807838918,0.186713746723,0.184388310035,2.23697394826,0.99945980248,0.00347450448071,0.0236562125988,-0.0243383159218,0.230708457315,0.243480568184,0.777659751493,0.0,0.0,0.0
1609060370812911400,80,1609060370812911400,0.187885907005,0.185621007274,2.24089396084,0.999460672374,0.00356581797497,0.0237099106564,-0.02423736456,0.231445759923,0.242541894921,0.767905623552,0.0,0.0,0.0
1609060370812925678,81,1609060370812925678,0.187889162671,0.18562441901,2.2409047626,0.99946067631,0.00356607413333,0.0237100816089,-0.024236997345,0.231444091518,0.242538051637,0.767887023019,0.0,0.0,0.0
1609060370817995290,82,1609060370817995290,0.189059067576,0.186847678712,2.24478518689,0.9994619692,0.00365511674494,0.0237956135036,-0.0240869088928,0.230081192802,0.240035599744,0.762933059051,0.0,0.0,0.0
1609060370818008325,83,1609060370818008325,0.189062084618,0.186850826256,2.24479519116,0.999461970462,0.00365537228068,0.023795882267,-0.0240865522394,0.230078448519,0.240028247145,0.76291869688,0.0,0.0,0.0
1609060370823082257,84,1609060370823082257,0.190227989089,0.188062594271,2.24864806079,0.999461810382,0.0037682827992,0.0239145572751,-0.0239588165309,0.229501250511,0.237630080156,0.755816935432,0.0,0.0,0.0
1609060370823098376,85,1609060370823098376,0.190231709852,0.188066446788,2.24866031423,0.99946180976,0.00376864422348,0.0239150101595,-0.0239583335916,0.229499064703,0.237623684355,0.755790881794,0.0,0.0,0.0
1609060370828175835,86,1609060370828175835,0.191394712537,0.189270238542,2.25247451586,0.999462712326,0.00387872973275,0.0240546936748,-0.0237639341692,0.228613896878,0.236556308894,0.746643487171,0.0,0.0,0.0
1609060370828197674,87,1609060370828197674,0.191399727078,0.189275427302,2.25249089263,0.999462720571,0.00387924501846,0.0240552461377,-0.0237629440733,0.228614545759,0.236557581577,0.746598950111,0.0,0.0,0.0
